	Step ID	Problem Hierarchy	Problem Name	Max Problem View	Step Name	Avg Incorrects	Avg Hints	Avg Corrects	% First Attempt Incorrects	% First Attempt Hints	% First Attempt Corrects	Avg Step Duration (sec)	Avg Correct Step Duration (sec)	Avg Error Step Duration (sec)	Total Students	Total Opportunities	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)	KC (Moon)
0	836f2c9a4cb963894aef4709150e672a	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q10_i1 UpdateRadioButton	0.3333	0.0	0.6667	33.3333	0.0	66.6667	3.402	5.023	0.159	3	3	Contextual understanding 4					
1	3432306e043cf29f6bcb622797f46a9d	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q11_i1 UpdateRadioButton	0.6	0.0	0.4	60.0	0.0	40.0	3.58	2.94	3.964	10	10	Contextual understanding 4					
2	5119e79282f1d35814bf2da35d90dcf1	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q12_i1 UpdateRadioButton	0.3333	0.0	0.6667	33.3333	0.0	66.6667	5.927	5.023	7.284	6	6	French Greetings	Contextual understanding 4				
3	78d20cd0a7f684d5808b0dfe06022d3f	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q13_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	3.621	3.621		6	6	Contextual understanding 4					
4	0e3e4e357f4302cd0bd3b1a71eb7ce68	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q14_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	1.852	1.852		8	8	French-to-English Translation	Contextual understanding 4				
5	0aaae0bf0bd0c8c46a3a8e282c5d3bfd	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q15_i1 UpdateRadioButton	0.4286	0.0	0.5714	42.8571	0.0	57.1429	3.945	2.977	5.398	7	7	Contextual understanding 4					
6	a93da786ccd5322961470ed6c5285e7e	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q1_i1 UpdateRadioButton	0.2	0.0	0.8	20.0	0.0	80.0	4.03	4.026	4.046	10	10	Contextual understanding 4					
7	98dcac4e84c28829c78cde6bc4e57bcf	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q2_i1 UpdateRadioButton	0.25	0.0	0.75	25.0	0.0	75.0	1.858	2.432	0.136	4	4	Contextual understanding 4					
8	865064b42a7d0ebc0e2a4e4014c12a0f	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q3_i1 UpdateRadioButton	0.1667	0.0	0.8333	16.6667	0.0	83.3333	9.728	8.735	12.705	6	6	Contextual understanding 4					
9	4b7f42c7d4643923f6979b87d81e19ac	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q4_i1 UpdateRadioButton	0.2857	0.0	0.7143	28.5714	0.0	71.4286	6.114	5.597	7.148	7	7	Contextual understanding 4					
10	3453e75d2ca46d5a50d74599333ab279	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q5_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	7.644	7.644		3	3	Contextual understanding 4					
11	97b3edd33aa0c7d9f346849281b19daa	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q6_i1 UpdateRadioButton	0.1429	0.0	0.8571	14.2857	0.0	85.7143	4.977	5.481	1.955	7	7	Contextual understanding 4					
12	7bafac0cae42dbb10812f73a3c82ab33	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q7_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	4.132	4.132		7	7	Contextual understanding 4					
13	e38faa9be09dc1123af1d5fac05721cb	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q8_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	2.26	2.26		9	9	Contextual understanding 4					
14	6691df9f514e68c27b407a93eb420a78	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool10_q9_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	3.508	3.508		7	7	French-to-English Translation	Contextual understanding 4				
15	58328168172e8101afd896f56c6abf72	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool11_q10_i1 UpdateRadioButton	0.5	0.0	0.5	50.0	0.0	50.0	4.668	6.046	3.29	10	10	Contextual clues	verb conjugation 1				
16	92b879a428a7c0e414d86bf899a62fbb	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool11_q1_i1 UpdateRadioButton	0.4	0.0	0.6	40.0	0.0	60.0	4.134	3.451	5.159	10	10	subject-verb agreement	Multiple choice selection 1	verb conjugation 1			
17	6a20bda8de2de8e1089e3e602b0ac015	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool11_q2_i1 UpdateRadioButton	0.3333	0.0	0.6667	33.3333	0.0	66.6667	3.932	5.19	0.159	6	6	Multiple choice selection 4	subject-verb agreement	French prepositions			
18	f2d4e79391eabd1e9e446466f7249d37	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool11_q3_i1 UpdateRadioButton	0.25	0.0	0.75	25.0	0.0	75.0	4.056	3.957	4.318	12	12	French Greetings	subject-verb agreement	verb conjugation 1			
19	d86d2334b8efbcc2d065eabc609de7bf	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool11_q4_i1 UpdateRadioButton	0.0	0.0	1.0	0.0	0.0	100.0	3.699	3.699		9	9	subject-verb agreement	Contextual understanding 2	verb conjugation 1			
20	41d822f6ab4de98088f50040a2aac0aa	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool11_q5_i1 UpdateRadioButton	0.4444	0.0	0.5556	44.4444	0.0	55.5556	5.565	4.017	7.629	9	9	French language proficiency 1	Contextual clues	verb conjugation 1			
21	0bba8e93a99b1ec64ae901ae070fcf7c	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool11_q6_i1 UpdateRadioButton	0.6	0.0	0.4	60.0	0.0	40.0	4.994	1.614	6.346	10	10	Logic and relevance	Contextual understanding 2	verb conjugation 1			
22	323a4c36e7f9cc6821dc96412b6625bd	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool11_q7_i1 UpdateRadioButton	0.8667	0.0	0.1333	86.6667	0.0	13.3333	4.752	7.636	4.512	15	15	Contextual understanding 1	Present tense conjugation 1	Multiple choice selection 2	Contextual understanding 2		
23	83736e32a061487c584c65d5374bf272	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool11_q8_i1 UpdateRadioButton	0.3846	0.0	0.6154	38.4615	0.0	61.5385	3.508	3.46	3.602	13	13	French Greetings	Present tense conjugation 1				
24	44f5498c2e0fb1b77ccb0c43eca76efd	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool11_q9_i1 UpdateRadioButton	0.1667	0.0	0.8333	16.6667	0.0	83.3333	2.655	3.205	0.455	6	6	French Greetings	subject-verb agreement	Multiple choice selection 1	verb conjugation 1		
25	d52c50f3764d03e9f0dc61960d9583e2	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool13_q1_i1 UpdateRadioButton	0.2	0.0	0.8	20.0	0.0	80.0	5.5	5.961	3.886	10	10	Multiple choice selection 3	Contextual understanding 2				
26	59929696510a5e2c833b9ce4e0fe21de	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool13_q2_i1 UpdateRadioButton	0.3333	0.0	0.6667	33.3333	0.0	66.6667	3.75	3.814	3.671	12	12	French-to-English Translation	Contextual understanding 3	Transcription recognition			
27	fe9a7008c3c8f3894c8c805f3171d2af	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool13_q3_i1 UpdateRadioButton	0.7778	0.0	0.2222	77.7778	0.0	22.2222	5.058	0.296	6.419	9	9	French Greetings	imperative mood	subject-verb agreement			
28	7c35104fa55013ab545239cfebaafb0e	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool13_q4_i1 UpdateRadioButton	0.2222	0.0	0.7778	22.2222	0.0	77.7778	2.156	0.955	5.16	9	9	French Greetings	French language proficiency 1	Reading Comprehension 1	verb conjugation 1		
29	d785d3c2e98bf8c20aeb62fc4ce77b6f	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool14_q1_i1 UpdateRadioButton	0.5	0.0	0.5	50.0	0.0	50.0	3.009	2.978	3.04	8	8	Multiple choice selection 1	French to English translation 2	Reading Comprehension 1			
30	48f88c2d1cecd3dbf3c33a1516017e6a	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool14_q2_i1 UpdateRadioButton	0.5	0.0	0.5	50.0	0.0	50.0	10.534	12.705	8.364	2	2	French-to-English Translation	imperative mood	French to English translation 2	French vowel sounds		
31	8405d8e8de3863a24682e4e1298aac21	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool14_q3_i1 UpdateRadioButton	0.7	0.0	0.3	70.0	0.0	30.0	3.828	0.091	4.451	10	10	French vocabulary 1	negation				
32	d5dbc3df95f913f561b106307386ab09	(sequence) French Online 2, (module) Au restaurant, (section1) Activités de synthèse, (section2) Test de leçon: Au restaurant	F1M5L2_Test.1_p01_pools	1.0	M5L2_pool1_q1_i1 UpdateRadioButton	0.2	0.0	0.8	20.0	0.0	80.0	4.231	3.324	7.182	20	20	French-to-English Translation	Contextual clues	French prepositions			
